timestamp_utc,task_id,task_family,description,readonly,sandbox_write,http_model_path,hermes_exit_code,elapsed_ms,stdout_length,stderr_length,session_id,terminal_tool_used,json_parse_success,validation_success,output_contract_success,readonly_preserved,changed_files_count,changed_files,keyword_hit_count,keyword_hits,error_message,output_preview
2026-03-14T17:20:43.555042+00:00,basic_ready_only,basic,Minimal single-token query should return exact READY output.,True,False,http://127.0.0.1:18343/v1,0,6689.707,42,0,20260314_132038_4b3754,False,False,True,True,True,0,[],1,"[""READY""]",,READY
2026-03-14T17:20:44.674119+00:00,basic_status_line,basic,Single-line fixed-prefix output should remain stable.,True,False,http://127.0.0.1:18343/v1,1,1117.352,0,493,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
  File ""/home/hhtele/hermes-agent/cli.py"", line 700
    _DIM = ""\033[
           ^
SyntaxError: unterminated string literal (detected at line 700)
",
2026-03-14T17:20:45.736481+00:00,basic_json_only,basic,Strict JSON-only response must be parseable without cleanup.,True,False,http://127.0.0.1:18343/v1,1,1059.744,0,493,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
  File ""/home/hhtele/hermes-agent/cli.py"", line 700
    _DIM = ""\033[
           ^
SyntaxError: unterminated string literal (detected at line 700)
",
2026-03-14T17:20:46.808654+00:00,basic_three_bullets,basic,Longer plain-text response should remain contract-compliant.,True,False,http://127.0.0.1:18343/v1,1,1068.999,0,493,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
  File ""/home/hhtele/hermes-agent/cli.py"", line 700
    _DIM = ""\033[
           ^
SyntaxError: unterminated string literal (detected at line 700)
",
2026-03-14T17:20:48.886876+00:00,repo_entrypoints_json,repo_readonly,Identify the core authority and main entrypoints in CodexGame.,True,False,http://127.0.0.1:18343/v1,1,1312.421,0,431,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
ImportError: cannot import name 'main' from 'cli' (/home/hhtele/hermes-agent/cli.py)
",
2026-03-14T17:20:50.660034+00:00,repo_restore_root_cause,repo_readonly,Analyze the boot-time restore inconsistency risk and propose the smallest safe fix.,True,False,http://127.0.0.1:18343/v1,1,1090.981,0,519,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
  File ""/home/hhtele/hermes-agent/cli.py"", line 2084
    """"""Display available tools wit
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 2084)
",
2026-03-14T17:20:52.630921+00:00,repo_metrics_protocol_json,repo_readonly,Explain the protocol-first gap for exposing runtime metrics to the client.,True,False,http://127.0.0.1:18343/v1,1,1309.138,0,431,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
ImportError: cannot import name 'main' from 'cli' (/home/hhtele/hermes-agent/cli.py)
",
2026-03-14T17:20:54.428658+00:00,repo_reconnect_circuit_breaker,repo_readonly,Trace the reconnect circuit breaker risk and propose the minimum safe guardrail-preserving fix.,True,False,http://127.0.0.1:18343/v1,1,1113.05,0,462,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
  File ""/home/hhtele/hermes-agent/cli.py"", line 3699
    r
     ^
SyntaxError: expected 'except' or 'finally' block
",
2026-03-14T17:20:56.446136+00:00,repo_atomic_build_write_guard,repo_readonly,Explain the atomic build write requirement and the smallest safe way to preserve it.,True,False,http://127.0.0.1:18343/v1,1,1329.247,0,431,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
ImportError: cannot import name 'main' from 'cli' (/home/hhtele/hermes-agent/cli.py)
",
2026-03-14T17:20:58.405337+00:00,repo_top_gaps_json,repo_readonly,Summarize the top 3 engineering gaps already implied by the repository and AGENTS guidance.,True,False,http://127.0.0.1:18343/v1,1,1281.92,0,431,,False,False,True,False,True,0,[],0,[],"Traceback (most recent call last):
  File ""/home/hhtele/.local/bin/hermes"", line 10, in <module>
    sys.exit(main())
             ^^^^^^
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 3224, in main
    args.func(args)
  File ""/home/hhtele/hermes-agent/hermes_cli/main.py"", line 495, in cmd_chat
    from cli import main as cli_main
ImportError: cannot import name 'main' from 'cli' (/home/hhtele/hermes-agent/cli.py)
",
