timestamp_utc,task_id,description,repeat_index,http_status,request_success,json_parse_success,validation_success,files_written_count,files_written,summary_preview,content_length,reasoning_content_length,elapsed_ms,prompt_tokens,completion_tokens,total_tokens,prompt_ms,predicted_ms,predicted_per_second,error_message
2026-04-23T03:09:35.989563+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,1,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implemented find_discrepancies to detect amount_mismatch, duplicate_left, missing_left, and missing_right discrepancies, and render_summary to output counts of each discrepancy kind.",3992,0,26038.798,1079,935,2014,628.0,24065.239,38.85272030749414,
2026-04-23T03:10:00.879262+00:00,agentic_python_reconcile_pkg,Complete a multi-file Python reconciliation package so the business discrepancy tests pass.,2,200,True,True,True,2,"[""reconcile/matcher.py"", ""reconcile/report.py""]","Implemented find_discrepancies in matcher.py and render_summary in report.py to detect amount mismatches, duplicates, and missing rows, and to render a summary with counts.",3854,0,24800.053,1079,902,1981,241.334,23213.304,38.85702784920234,
2026-04-23T03:10:08.149930+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,1,200,True,True,True,1,"[""runtime/restore.py""]","Fixed the race condition where state.phase was set to 'running' before threads were created. Now phase is only set to 'running' after all threads have been successfully bootstrapped, ensuring running state is not exposed before threads exist.",867,0,7198.191,748,210,958,355.678,5391.072,38.95329166444076,
2026-04-23T03:10:16.191029+00:00,agentic_python_restore_bootstrap,Fix a multi-file Python runtime restore flow so running state is not exposed before threads exist.,2,200,True,True,True,1,"[""runtime/restore.py""]","Fixed the race condition where state.phase was set to 'running' before threads were created. Now phase is only set to 'running' after all threads have been successfully bootstrapped, ensuring running state is not exposed before threads exist.",867,0,7972.254,748,210,958,253.3,5387.038,38.98246123379862,
2026-04-23T03:10:23.038920+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,1,200,True,True,True,1,"[""runtime/server.py""]",Move metrics from world_snapshot to session_state runtime payload so tests pass.,676,0,6786.378,917,178,1095,427.766,4569.044,38.95782137357399,
2026-04-23T03:10:29.590831+00:00,agentic_python_metrics_contract,Fix a small runtime/protocol/client package so metrics travel through session state instead of ad-hoc world state.,2,200,True,True,True,1,"[""runtime/server.py""]",Move metrics from world_snapshot payload into session_state runtime payload so that metrics travel through session state instead of ad-hoc world state.,747,0,6485.042,917,190,1107,241.6,4878.809,38.943930783107106,
2026-04-23T03:10:42.913972+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,1,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to parse logs, filter out non-ERROR lines, normalize variable fields (like orderId, providerTxnId, email) into placeholders to create stable error signatures, count occurrences of each signature, and output them in the format '<count> <signature>' sorted by count desce",1369,0,13250.97,681,445,1126,339.906,11451.943,38.858034833040996,
2026-04-23T03:10:52.401577+00:00,agentic_bash_log_triage,Produce a working Bash triage script that groups noisy logs into stable error signatures.,2,200,True,True,True,1,"[""scripts/triage.sh""]","Implement the triage.sh script to parse logs, filter out non-ERROR lines, normalize variable fields (like orderId, providerTxnId, email) into placeholders, group identical error signatures, count occurrences, and output them sorted by count descending.",927,0,9408.881,681,305,986,241.295,7835.994,38.92294966024731,
2026-04-23T03:11:09.473934+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,1,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics from worldSnapshot payload into sessionState runtime payload, and update client reducer to read metrics from session.state instead of world.snapshot.",2075,0,16916.856,1078,581,1659,505.669,14952.667,38.8559445615956,
2026-04-23T03:11:26.163663+00:00,agentic_ts_metrics_contract_patch,Apply the smallest multi-file TypeScript patch so runtime metrics live in session.state/runtime and the client reads them from there.,2,200,True,True,True,3,"[""packages/protocol/src/messages.ts"", ""apps/game-runtime/src/runtime/sessionState.ts"", ""apps/game-client/src/state.ts""]","Move metrics from worldSnapshot payload into sessionState payload.runtime, and update the client reducer to read metrics from session.state instead of world.snapshot.",2079,0,16549.404,1078,582,1660,242.866,14990.057,38.82573628639304,
