timestamp_utc,task_id,family,description,repeat_index,http_status,success,max_tokens,prompt_chars,context_file_count,prompt_tokens,completion_tokens,total_tokens,finish_reason,elapsed_ms,network_retry_count,prompt_ms,predicted_ms,predicted_per_second,reasoning_content_length,content_length,reasoning_preview,content_preview,error_message
2026-04-07T04:28:59.943712+00:00,java_null_nested_config,java,Optional nested config causes startup-time null handling bug.,1,0,False,900,2152,4,,,,,5119.23,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:29:12.238399+00:00,java_transaction_partial_commit,java,Order update spans multiple repositories without a transaction boundary.,1,0,False,1000,2332,4,,,,,5120.395,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:29:24.570990+00:00,java_path_body_id_mismatch,java,Controller trusts request body identifier over path identifier.,1,0,False,900,2399,3,,,,,5211.836,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:29:36.827611+00:00,java_audit_success_on_failure,java,Audit log currently records a successful change even when the write fails.,1,0,False,1000,1956,3,,,,,5121.862,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:29:49.085775+00:00,java_pagination_boundary,java,Pagination code has an index boundary bug and unstable empty-page behavior.,1,0,False,900,1933,3,,,,,5117.353,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:30:01.371278+00:00,java_optimistic_lock_missing,java,Version field exists but update flow does not actually enforce optimistic locking.,1,0,False,1050,2414,4,,,,,5118.794,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:30:13.598962+00:00,java_enum_db_compat,java,Database enum values no longer match Java enum names after a migration.,1,0,False,1000,1635,4,,,,,5119.955,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:30:25.824001+00:00,java_soft_delete_unique_email,java,Soft-deleted rows still participate in uniqueness checks and block re-registration.,1,0,False,950,2018,4,,,,,5106.617,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:30:38.063532+00:00,ts_boot_restore_consistency,ts,Boot-time restore can expose an inconsistent running state before threads are restored.,1,0,False,1250,86231,6,,,,,5129.064,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:30:51.307576+00:00,ts_runtime_metrics_protocol,ts,Runtime metrics exist server-side but are not exposed to the client in a protocol-first way.,1,0,False,1250,98189,7,,,,,5115.728,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:31:03.582587+00:00,java_idempotency_payment_callback,java,Payment callback handler applies duplicate provider events more than once.,1,0,False,1050,3025,5,,,,,5110.49,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:31:15.820811+00:00,java_outbox_publish_before_commit,java,Domain event is published inline before the database write is durably committed.,1,0,False,1050,2028,3,,,,,5114.814,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:31:28.059164+00:00,java_cache_stale_after_write,java,Profile update writes to DB but leaves the cache stale on the read path.,1,0,False,950,2268,3,,,,,5119.604,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:31:40.308177+00:00,java_csv_import_partial_batch,java,CSV batch import persists rows incrementally before the full batch is validated.,1,0,False,1100,1981,3,,,,,5132.843,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:31:53.562700+00:00,java_retry_duplicate_side_effect,java,Retry wrapper around a remote call duplicates the user-visible side effect.,1,0,False,1050,2081,4,,,,,6145.357,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:32:05.802920+00:00,java_permission_scope_trust_bug,java,Service trusts orgId from request payload instead of the authenticated operator context.,1,0,False,1000,1904,3,,,,,5126.901,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:32:18.095291+00:00,script_python_csv_reconcile,script,Write a Python reconciliation script for two daily business CSV exports with duplicate and blank-row edge cases.,1,0,False,1300,1722,3,,,,,5124.005,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:32:30.328272+00:00,script_bash_log_triage,script,Write a shell script to summarize recurring production errors from mixed application logs.,1,0,False,1150,1627,2,,,,,5112.798,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:32:42.924516+00:00,script_python_jsonl_replay_analyzer,script,Write a small Python analyzer for replay JSONL files with malformed-line tolerance.,1,0,False,1300,2243,3,,,,,5132.672,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:32:55.518264+00:00,script_bash_atomic_deploy,script,Write a deploy script that performs atomic release swap with health check and rollback.,1,0,False,1250,1279,2,,,,,5129.036,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:33:08.087962+00:00,ts_reconnect_circuit_breaker,ts,Reconnect handling risks bypassing the circuit breaker that protects the runtime loop.,1,0,False,1250,84625,5,,,,,5444.616,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
2026-04-07T04:33:20.398105+00:00,ts_build_atomic_write_guard,ts,Builder flow must preserve atomic writes and schema-first validation under partial failure.,1,0,False,1250,58201,5,,,,,5190.277,1,,,,0,0,,,RemoteDisconnected('Remote end closed connection without response')
